chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,position
,,37605,0,0,0,0,0,3,2.9,3.4,0,Mesut,0.0,1,False,,,70,37605.jpg,0.0,Özil,1.3,False,,a,Arsenal,3,0,429,429,5310,5310,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504,200,504,200,501,198,504,200,3.0,,,,,,Midfielder
0.0,0.0,39476,0,0,0,0,0,2,0.0,0.0,0,Sokratis,0.0,2,False,Calf injury - Expected back 19 Sep,2020-09-11T11:00:08.600094Z,50,39476.jpg,0.0,Papastathopoulos,0.2,False,,i,Arsenal,3,0,16,16,1582,1582,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,303,132,299,132,271,124,309,132,,,,,,,Defender
0.0,0.0,41270,0,0,0,0,0,2,0.0,0.0,0,David,0.0,3,False,Neck - Unknown return date,2020-09-10T14:30:11.632386Z,55,41270.jpg,0.0,Luiz Moreira Marinho,1.0,False,,i,Arsenal,3,0,176,176,10328,10328,0.0,0.0,David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,398,171,400,171,385,168,402,171,,,2.0,,,,Defender
,,54694,0,0,0,0,0,3,4.5,5.0,7,Pierre-Emerick,7.0,4,False,,,120,54694.jpg,7.0,Aubameyang,47.7,False,,a,Arsenal,3,7,24622,24622,59099,59099,0.6,0.6,Aubameyang,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,17,6,31,19,7,4,6,4,,,4.0,,1.0,,Midfielder
,,58822,0,0,0,0,0,2,2.6,3.1,0,Cédric,0.0,5,False,,,50,58822.jpg,0.0,Soares,0.6,False,,a,Arsenal,3,0,258,258,4081,4081,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,315,137,312,137,287,130,321,137,,,,,,,Defender
,,59966,0,0,0,0,0,4,3.5,4.0,7,Alexandre,7.0,6,False,,,85,59966.jpg,7.0,Lacazette,4.2,False,,a,Arsenal,3,7,18540,18540,6358,6358,0.8,0.8,Lacazette,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,12,3,43,7,10,6,10,4,,,3.0,,3.0,,Forward
0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,69140.jpg,0.0,Mustafi,0.0,False,,i,Arsenal,3,0,20,20,77,77,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,322,139,319,139,295,132,327,139,,,,,,,Defender
,,80201,0,0,0,0,0,1,3.0,3.5,7,Bernd,7.0,8,False,,,50,80201.jpg,7.0,Leno,8.0,False,,a,Arsenal,3,7,25874,25874,7311,7311,1.4,1.4,Leno,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,73,9,324,43,300,43,126,9,,,,,,,Goalkeeper
,,84450,0,0,0,0,0,3,2.3,2.8,3,Granit,3.0,9,False,,,55,84450.jpg,3.0,Xhaka,0.9,False,,a,Arsenal,3,3,3767,3767,2230,2230,0.5,0.5,Xhaka,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,111,44,28,16,36,20,44,22,,,,,,,Midfielder
0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,92371.jpg,0.0,Marí,0.0,False,,i,Arsenal,3,0,12,12,73,73,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,229,92,221,92,182,78,235,92,,,,,,,Defender
,,98745,0,0,0,0,0,2,2.6,3.1,5,Héctor,5.0,11,False,,,50,98745.jpg,5.0,Bellerín,4.6,False,,a,Arsenal,3,5,12589,12589,5811,5811,1.0,1.0,Bellerín,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4.0,4.0,93,43,14,5,72,16,54,16,,,,,,,Defender
,,98980,0,0,0,0,0,1,2.2,2.7,0,Emiliano,0.0,12,False,,,45,98980.jpg,0.0,Martínez,4.7,False,,a,Arsenal,3,0,5032,5032,21272,21272,0.0,0.0,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,231,38,223,27,184,27,237,38,,,,,,,Goalkeeper
0.0,0.0,101184,0,0,0,0,0,2,0.0,0.0,0,Calum,0.0,13,False,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,101184.jpg,0.0,Chambers,0.0,False,,i,Arsenal,3,0,28,28,92,92,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,232,93,224,93,186,80,238,93,,,,,,,Defender
,,111457,0,0,0,0,0,2,2.6,3.1,0,Sead,0.0,14,False,,,50,111457.jpg,0.0,Kolasinac,0.3,False,,a,Arsenal,3,0,124,124,1515,1515,0.0,0.0,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,344,151,343,151,322,147,349,151,,,,,,,Defender
,,154043,0,0,0,0,0,2,2.6,3.1,6,Ainsley,6.0,15,False,,,50,154043.jpg,6.0,Maitland-Niles,2.2,False,,a,Arsenal,3,6,6545,6545,2693,2693,1.2,1.2,Maitland-Niles,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,91,42,86,21,73,17,116,41,,,,,,,Defender
,,156074,0,0,0,0,0,2,2.1,2.6,6,Rob,6.0,16,False,,,45,156074.jpg,6.0,Holding,1.6,False,,a,Arsenal,3,6,16560,16560,3861,3861,1.3,1.3,Holding,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,44,20,110,28,210,95,98,33,,,,,,,Defender
,,192895,0,0,0,0,0,2,3.0,3.5,6,Kieran,6.0,17,False,,,55,192895.jpg,6.0,Tierney,12.2,False,,a,Arsenal,3,6,15358,15358,11005,11005,1.1,1.1,Tierney,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,81,38,91,23,92,26,118,42,,,,,,,Defender
,,195735,0,0,0,0,0,3,3.2,3.7,1,Nicolas,1.0,18,False,,,80,195735.jpg,1.0,Pépé,2.0,False,,a,Arsenal,3,1,842,842,17437,17437,0.1,0.1,Pépé,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,148,70,30,18,67,38,96,45,1.0,,1.0,,2.0,,Midfielder
,,198849,0,0,0,0,0,3,1.9,2.4,0,Lucas,0.0,19,False,,,50,198849.jpg,0.0,Torreira,0.3,False,,a,Arsenal,3,0,331,331,1517,1517,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,371,135,370,135,354,121,375,136,5.0,,,,,,Midfielder
,,200089,0,0,0,0,0,3,1.9,2.4,0,Joseph,0.0,20,False,,,50,200089.jpg,0.0,Willock,0.1,False,,a,Arsenal,3,0,119,119,546,546,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,374,136,373,136,357,122,378,137,,,,,,,Midfielder
,,200641,0,0,0,0,0,3,2.3,2.8,0,Reiss,0.0,21,False,,,55,200641.jpg,0.0,Nelson,0.1,False,,a,Arsenal,3,0,94,94,505,505,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,442,167,443,168,435,162,444,168,4.0,,,,,,Midfielder
,,205533,0,0,0,0,0,4,2.3,2.8,1,Edward,1.0,22,False,,,60,205533.jpg,1.0,Nketiah,1.8,False,,a,Arsenal,3,1,1152,1152,9860,9860,0.2,0.2,Nketiah,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,485,52,486,52,482,53,487,53,,,,,,,Forward
0.0,0.0,209289,0,0,0,0,0,3,0.0,0.0,0,Emile,0.0,23,False,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,209289.jpg,0.0,Smith Rowe,0.3,False,,i,Arsenal,3,0,103,103,1574,1574,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,274,91,268,92,235,68,280,94,,,,,,,Midfielder
,,223340,0,0,0,0,0,3,2.3,2.8,0,Bukayo,0.0,24,False,,,55,223340.jpg,0.0,Saka,7.6,False,,a,Arsenal,3,0,2404,2404,43312,43312,0.0,0.0,Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,446,169,447,170,439,164,448,170,2.0,,,,,,Midfielder
,,242166,0,0,0,0,0,3,1.9,2.4,0,Matteo,0.0,25,False,,,50,242166.jpg,0.0,Guendouzi,0.2,False,,a,Arsenal,3,0,229,229,1146,1146,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,142,385,142,371,130,390,143,,,,,,,Midfielder
0.0,0.0,444145,0,0,0,0,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,Arsenal,3,0,87,87,324,324,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,389,144,388,144,374,132,393,145,,,,,,,Midfielder
,,462424,0,0,0,0,0,2,2.1,2.6,0,William,0.0,27,False,,,45,462424.jpg,0.0,Saliba,3.3,False,,a,Arsenal,3,0,1177,1177,22924,22924,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,298,130,293,130,264,122,304,130,,,,,,,Defender
,,47431,0,0,0,0,1,3,3.2,3.7,14,Willian,14.0,478,True,,,80,47431.jpg,14.0,Borges Da Silva,10.6,False,,a,Arsenal,3,14,99466,99466,9917,9917,1.8,1.8,Willian,74,0,3,1,0,0,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,11,5,9,7,12,6,4,3,,,,,,,Midfielder
,,226597,0,0,0,0,1,2,2.6,3.1,15,Gabriel,15.0,494,True,,,50,226597.jpg,15.0,Magalhães,4.4,False,,a,Arsenal,3,15,94171,94171,5786,5786,3.0,3.0,Gabriel,90,1,0,1,0,0,0,0,0,0,0,3,37,51.8,0.3,33.0,8.5,5,1,137,45,23,5,15,2,,,,,,,Defender
,,182539,0,0,0,0,0,3,1.9,2.4,1,Daniel,1.0,501,False,,,50,182539.jpg,1.0,Ceballos Fernández,2.0,False,,a,Arsenal,3,1,4136,4136,6549,6549,0.2,0.2,Ceballos,12,0,0,0,0,0,0,0,0,0,0,0,6,5.2,1.3,4.0,1.1,119,48,107,67,74,41,132,62,,,,,,,Midfielder
,,153256,0,0,0,0,0,3,1.5,2.0,3,Mohamed Naser,3.0,526,False,,,45,153256.jpg,3.0,El Sayed Elneny,0.4,False,,a,Arsenal,3,3,12336,12336,1979,1979,0.7,0.7,Elneny,90,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.8,18.0,3.2,88,33,77,46,46,27,67,30,,,,,,,Midfielder
,,113534,0,0,0,0,0,1,1.5,2.0,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,0.1,False,,a,Arsenal,3,0,954,954,163,163,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,166,20,158,8,108,8,173,20,,,,,,,Goalkeeper
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,28,False,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,i,Aston Villa,7,0,67,67,154,154,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,192,26,184,14,136,14,199,26,,,,,,,Goalkeeper
,,37339,0,0,0,0,0,2,1.1,0.0,0,Ahmed,0.0,29,False,,,45,37339.jpg,0.0,El Mohamady,0.5,False,,a,Aston Villa,7,0,649,649,741,741,0.0,0.0,El Mohamady,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,195,72,187,72,139,52,202,72,,,,,,,Defender
,,40564,0,0,0,0,0,3,0.5,0.0,0,Henri,0.0,30,False,,,45,40564.jpg,0.0,Lansbury,0.3,False,,a,Aston Villa,7,0,430,430,489,489,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,199,78,191,80,143,51,206,82,,,,,,,Midfielder
,,47390,0,0,0,0,0,2,1.1,0.0,0,Neil,0.0,31,False,,,45,47390.jpg,0.0,Taylor,0.4,False,,a,Aston Villa,7,0,615,615,652,652,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,206,78,198,78,151,59,213,78,,,,,,,Defender
,,79852,0,0,0,0,0,1,0.5,0.0,0,Jed,0.0,32,False,,,40,79852.jpg,0.0,Steer,5.3,False,,a,Aston Villa,7,0,5275,5275,2084,2084,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,162,17,154,5,104,5,169,17,,,,,,,Goalkeeper
,,85242,0,0,0,0,0,3,1.6,0.0,0,Conor,0.0,33,False,,,60,85242.jpg,0.0,Hourihane,0.1,False,,a,Aston Villa,7,0,61,61,169,169,0.0,0.0,Hourihane,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,178,465,179,460,175,467,179,1.0,,1.0,,,,Midfielder
,,89274,0,0,0,0,0,3,1.6,0.0,0,José Ignacio,0.0,34,False,,,60,89274.jpg,0.0,Peleteiro Romallo,0.1,False,,a,Aston Villa,7,0,137,137,246,246,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,467,180,467,181,462,177,469,181,,,,,,,Midfielder
,,98770,0,0,0,0,0,1,0.5,0.0,0,Ørjan,0.0,35,False,,,40,98770.jpg,0.0,Nyland,16.9,False,,a,Aston Villa,7,0,11766,11766,6187,6187,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,164,18,156,6,106,6,171,18,,,,,,,Goalkeeper
,,108156,0,0,0,0,0,2,1.1,0.0,0,Bjorn,0.0,36,False,,,45,108156.jpg,0.0,Engels,0.2,False,,a,Aston Villa,7,0,121,121,268,268,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,240,99,233,99,195,86,246,99,,,,,,,Defender
,,114283,0,0,0,0,0,3,1.9,0.0,0,Jack,0.0,37,False,,,70,114283.jpg,0.0,Grealish,10.7,False,,a,Aston Villa,7,0,9947,9947,15688,15688,0.0,0.0,Grealish,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,506,201,506,201,504,200,506,201,2.0,,7.0,,3.0,,Midfielder
,,122806,0,0,0,0,0,3,1.3,0.0,0,John,0.0,38,False,,,55,122806.jpg,0.0,McGinn,0.6,False,,a,Aston Villa,7,0,673,673,799,799,0.0,0.0,McGinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,424,157,425,157,414,149,427,158,3.0,,6.0,,,,Midfielder
,,123354,0,0,0,0,0,2,1.1,0.0,0,Kortney,0.0,39,False,,,45,123354.jpg,0.0,Hause,0.1,False,,a,Aston Villa,7,0,44,44,142,142,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,245,103,238,103,200,90,251,103,,,,,,,Defender
,,148508,0,0,0,0,0,3,1.3,0.0,0,Mahmoud Ahmed,0.0,40,False,,,55,148508.jpg,0.0,Ibrahim Hassan,1.4,False,,a,Aston Villa,7,0,2383,2383,2336,2336,0.0,0.0,Trézéguet,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,159,428,159,417,151,430,160,6.0,,3.0,,,,Midfielder
,,149484,0,0,0,0,0,2,1.6,0.0,0,Tyrone,0.0,41,False,,,50,149484.jpg,0.0,Mings,1.5,False,,a,Aston Villa,7,0,1062,1062,1874,1874,0.0,0.0,Mings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,352,155,351,155,332,152,357,155,,,,,,,Defender
,,169359,0,0,0,0,0,2,1.1,0.0,0,Matt,0.0,42,False,,,45,169359.jpg,0.0,Targett,1.0,False,,a,Aston Villa,7,0,821,821,1162,1162,0.0,0.0,Targett,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,255,110,249,110,213,98,261,110,4.0,,5.0,,,,Defender
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,Aston Villa,7,0,11,11,79,79,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,262,115,256,115,221,104,268,115,,,,,,,Defender
,,184704,0,0,0,0,0,3,0.5,0.0,0,Marvelous,0.0,44,False,,,45,184704.jpg,0.0,Nakamba,0.6,False,,a,Aston Villa,7,0,611,611,1062,1062,0.0,0.0,Nakamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,263,87,257,88,222,63,269,90,,,,,,,Midfielder
